entity,entity_dir,algorithm,track,level,n_replicates,n_pixels,coverage,median_width,mean_width,median_signed_diff,mean_abs_diff,frac_diff_gt_0p1
Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,random_forest,upstream_only,10,30,12681,1.0,0.0720842092859032,0.08319592170432927,-0.021502636874280445,0.022864802358618118,0.0
Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,random_forest,upstream_only,20,30,12681,0.8896774702310544,0.07663653135800247,0.07776554636785775,-0.02246057646904409,0.02422723288839496,0.0009462976105985332
Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,random_forest,combined,3,30,12681,0.9144389243750493,0.08764999999999999,0.14408259003752644,-0.002466666666666668,0.028496814022895563,0.051809794180269694
Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,random_forest,combined,10,30,12681,0.8663354625029572,0.10040416666666664,0.1517871846910701,-0.00760555555555556,0.03652082008988917,0.08240675025628894
Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,random_forest,combined,20,30,12681,0.7871618957495465,0.105125,0.15672724702697433,-0.012408888888888928,0.0466151497447314,0.127750177430802
Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,xgboost,local_only,3,30,12681,0.9143600662408328,0.012614362646127118,0.1712945295225374,-0.00024524668503242224,0.03643535563562871,0.11702547117735194
Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,xgboost,local_only,10,30,12681,0.8469363614856873,0.015614978387020525,0.17806255666477677,-0.000560186467676734,0.04370922762878223,0.1376863023420866
Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,xgboost,local_only,20,30,12681,0.7850327261256999,0.018581102768075636,0.1845590944017673,-0.0008585630285476023,0.04981500031675367,0.15432536866177746
Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,xgboost,upstream_only,3,30,12681,0.8896774702310544,0.05710533857345579,0.06252371956754464,-0.013207300504048614,0.01750354315624651,0.0
Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,xgboost,upstream_only,10,30,12681,1.0,0.07213991209864612,0.08237537134434492,-0.018185263872146584,0.021372045301339827,0.0
Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,xgboost,upstream_only,20,30,12681,0.8896774702310544,0.07584402784705163,0.07682540179843152,-0.01942277749379473,0.02257757706455179,0.0
Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,xgboost,combined,3,30,12681,0.9143600662408328,0.012614362646127118,0.1712945295225374,-0.00024524668503242224,0.03643535563562871,0.11702547117735194
Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,xgboost,combined,10,30,12681,0.8469363614856873,0.015614978387020525,0.17806255666477677,-0.000560186467676734,0.04370922762878223,0.1376863023420866
Austropotamobius fulcisianus (pooled),Austropotamobius_fulcisianus_pooled,xgboost,combined,20,30,12681,0.7850327261256999,0.018581102768075636,0.1845590944017673,-0.0008585630285476023,0.04981500031675367,0.15432536866177746
Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,random_forest,local_only,3,30,11872,0.8842654986522911,0.13981249999999995,0.18527504307019582,-0.007966111111111122,0.04094208054566166,0.08431603773584906
Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,random_forest,local_only,10,30,11872,0.7877358490566038,0.17065416666666666,0.2241737845801646,-0.02052777777777779,0.06700016354664604,0.24241913746630728
Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,random_forest,local_only,20,30,11872,0.6875842318059299,0.18997499999999995,0.2439271713882361,-0.032430476190476246,0.09763775683651105,0.34029649595687333
Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,random_forest,upstream_only,3,30,11872,0.9567048517520216,0.023574999999999985,0.12478776304976982,-0.011674802541316198,0.02885923537351684,0.05955188679245283
Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,random_forest,upstream_only,10,30,11872,0.5075808625336927,0.029474999999999987,0.14109487551626856,-0.03731820769213623,0.046543027823336025,0.09661388140161725
Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,random_forest,upstream_only,20,30,11872,0.47102425876010784,0.03485103912752574,0.14892678348857546,-0.06681864849104435,0.06887904882168258,0.13350741239892183
Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,random_forest,combined,3,30,11872,0.8842654986522911,0.14079999999999998,0.18582192801589972,-0.007650000000000014,0.04102183993683951,0.08490566037735849
Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,random_forest,combined,10,30,11872,0.7871462264150944,0.17068958333333328,0.22437872772536685,-0.0201788888888889,0.06702288813602914,0.24738881401617252
Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,random_forest,combined,20,30,11872,0.6848888140161725,0.19178166666666666,0.2451650702964862,-0.03166777777777779,0.09813030969652727,0.3472877358490566
Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,xgboost,local_only,3,30,11872,0.8067722371967655,0.0361897828552173,0.20179583397044287,-0.0020197020882430174,0.04673257342617317,0.14951145552560646
Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,xgboost,local_only,10,30,11872,0.664588948787062,0.06177904963114993,0.2699821879088634,-0.00449567760224454,0.07781078717838637,0.2634770889487871
Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,xgboost,local_only,20,30,11872,0.5576987870619946,0.09145625123928762,0.30384597461721996,-0.007552006726230805,0.11570962689809865,0.33372641509433965
Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,xgboost,upstream_only,3,30,11872,0.940616576819407,0.023534826934337616,0.13995322952616374,-0.013086118300755845,0.036381110924605234,0.10251010781671159
Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,xgboost,upstream_only,10,30,11872,0.4691711590296496,0.026971390843391452,0.1618275352424695,-0.03839009205500282,0.05637894951747693,0.1334231805929919
Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,xgboost,upstream_only,20,30,11872,0.43640498652291104,0.036749576032161724,0.17638934005713372,-0.06837720870971681,0.08085687536948018,0.15237533692722371
Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,xgboost,combined,3,30,11872,0.8128369272237197,0.03576971285510806,0.20079605810215306,-0.0020416978591432174,0.04649553481726955,0.15077493261455527
Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,xgboost,combined,10,30,11872,0.6809299191374663,0.06232171277515585,0.2690567582845371,-0.004604888305766508,0.07723417218908947,0.2644878706199461
Austropotamobius torrentium (pooled),Austropotamobius_torrentium_pooled,xgboost,combined,20,30,11872,0.5753874663072777,0.09284235053928563,0.3041348891932077,-0.007789335504639894,0.11576207746496917,0.33962264150943394
Faxonius limosus (alien),Faxonius_limosus_alien,random_forest,local_only,3,30,20052,0.8898862956313585,0.26059999999999994,0.2898414970214347,0.007060555555555535,0.07141261792355748,0.23404149212048672
Faxonius limosus (alien),Faxonius_limosus_alien,random_forest,local_only,10,30,20052,0.8341811290644324,0.27712291666666666,0.3123530776645584,-0.0009905555555555223,0.09245067797068172,0.3214143227608219
Faxonius limosus (alien),Faxonius_limosus_alien,random_forest,local_only,20,30,20052,0.7393277478555755,0.2862608333333333,0.3169187765866287,-0.005027777777777777,0.11783572724132743,0.4156193895870736
Faxonius limosus (alien),Faxonius_limosus_alien,random_forest,upstream_only,3,30,20052,0.5145621384400558,0.10891666666666665,0.1892363078840052,-0.01588930397477678,0.05382923347109044,0.16362457610213446
Faxonius limosus (alien),Faxonius_limosus_alien,random_forest,upstream_only,10,30,20052,0.5075304209056454,0.11597118794326237,0.1985336459496901,-0.03549382801351669,0.0674921948383328,0.18920805904647917
Faxonius limosus (alien),Faxonius_limosus_alien,random_forest,upstream_only,20,30,20052,0.4819968082984241,0.11992708333333332,0.19788501720726895,-0.06513123008356525,0.08787649106113996,0.2213245561539996
Faxonius limosus (alien),Faxonius_limosus_alien,random_forest,combined,3,30,20052,0.8884400558547776,0.2586708333333333,0.28969153419957316,0.006449444444444438,0.0712031743722934,0.23134849391581888
Faxonius limosus (alien),Faxonius_limosus_alien,random_forest,combined,10,30,20052,0.8356273688410134,0.27569803571428575,0.31258046340409595,-0.001734722222222214,0.0925022014106517,0.32001795332136446
Faxonius limosus (alien),Faxonius_limosus_alien,random_forest,combined,20,30,20052,0.7424197087572312,0.2847120833333333,0.3172609782715192,-0.005520873015873062,0.11758316027414822,0.4094853381208857
Faxonius limosus (alien),Faxonius_limosus_alien,xgboost,local_only,3,30,20052,0.8238579692798723,0.23830569577403354,0.2714114282566035,-0.006291446555405858,0.07009893230322965,0.25653301416317575
Faxonius limosus (alien),Faxonius_limosus_alien,xgboost,local_only,10,30,20052,0.689607021743467,0.27562802415341137,0.2934272769643571,-0.013551233988255282,0.09643422916176204,0.34131258727308994
Faxonius limosus (alien),Faxonius_limosus_alien,xgboost,local_only,20,30,20052,0.6227807699980051,0.29076940137892954,0.2989382125552615,-0.013858832046389581,0.12497091662594323,0.4036006383403152
Faxonius limosus (alien),Faxonius_limosus_alien,xgboost,upstream_only,3,30,20052,0.5114203072012767,0.03166137949447147,0.18346998716253998,-0.015596633156140627,0.05222611467373576,0.17479553161779374
Faxonius limosus (alien),Faxonius_limosus_alien,xgboost,upstream_only,10,30,20052,0.4845401954917215,0.04063592136953957,0.1934040919286835,-0.034860431154568994,0.06743416864495132,0.1949930181528027
Faxonius limosus (alien),Faxonius_limosus_alien,xgboost,upstream_only,20,30,20052,0.44823459006582883,0.0453642919543199,0.19529767330298706,-0.0645694971084595,0.08859241570757807,0.21289646918013166
Faxonius limosus (alien),Faxonius_limosus_alien,xgboost,combined,3,30,20052,0.8395671254737682,0.23663842985406514,0.2717999490077023,-0.005633703487304354,0.06893015869037172,0.25438858966686617
Faxonius limosus (alien),Faxonius_limosus_alien,xgboost,combined,10,30,20052,0.7115000997406743,0.27414253870956595,0.29391614235400976,-0.011818837576235332,0.09486350265192751,0.3399162178336326
Faxonius limosus (alien),Faxonius_limosus_alien,xgboost,combined,20,30,20052,0.6333532814681827,0.2898655695840715,0.2985723449232095,-0.012855103635229168,0.12289566691563406,0.39801516058248554
Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,random_forest,local_only,3,30,37449,0.8937488317445058,0.11875,0.17670168727140864,-0.000920634920634926,0.0403050629845527,0.10579721754920024
Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,random_forest,local_only,10,30,37449,0.8321450506021523,0.13005,0.1866145805408872,-0.0014400000000000107,0.05975841021486833,0.1917808219178082
Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,random_forest,local_only,20,30,37449,0.7774573419850997,0.1328116666666667,0.18954148720041844,-0.0014266666666666677,0.07853642957108856,0.23787017009799993
Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,random_forest,upstream_only,3,30,37449,0.5925124836444231,0.01567970325950624,0.11811616607450466,-0.01279613503455609,0.030576210685831957,0.0778124916553179
Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,random_forest,upstream_only,10,30,37449,0.5708029586904857,0.022583039890344492,0.12481392085697182,-0.02153444444444446,0.04616878385361631,0.10550348473924537
Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,random_forest,upstream_only,20,30,37449,0.5407354001441961,0.01821112248938267,0.12417176989524306,-0.02626000000000001,0.0649982602884699,0.1327939330823253
Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,random_forest,combined,3,30,37449,0.8932681780554887,0.11609166666666665,0.17628817581593503,-0.0012000000000000005,0.041093973779456304,0.1155972122086037
Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,random_forest,combined,10,30,37449,0.8338807444791583,0.12784999999999996,0.18666590352976245,-0.001855555555555557,0.060734534016125656,0.19656065582525567
Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,random_forest,combined,20,30,37449,0.7764426286416193,0.13145208333333325,0.18926148304315318,-0.0019722222222222276,0.07970182571022259,0.24203583540281448
Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,xgboost,local_only,3,30,37449,0.7352132233170445,0.04078832879895341,0.18469569011799986,-0.0006827877659816295,0.04898824225782035,0.17410344735506955
Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,xgboost,local_only,10,30,37449,0.6419130016822879,0.04905691007152199,0.1967378540237441,-0.0009831703694847724,0.07343654518726755,0.24289033084995593
Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,xgboost,local_only,20,30,37449,0.5966247429837913,0.051651307544670996,0.1961169491704377,-0.0010845345289756851,0.09404010158945206,0.2710352746401773
Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,xgboost,upstream_only,3,30,37449,0.5600683596357713,0.01514992192387582,0.1240314258683055,-0.00936965710328271,0.03389448825150606,0.10141792838260033
Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,xgboost,upstream_only,10,30,37449,0.5000934604395311,0.02270919531583787,0.13221882214302005,-0.014191926410421728,0.051495275596154806,0.12950946620737536
Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,xgboost,upstream_only,20,30,37449,0.46233544286896844,0.01883161738514899,0.1313129500721958,-0.015600496530532831,0.07155542527420518,0.14595850356484819
Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,xgboost,combined,3,30,37449,0.7493391011776015,0.040736103197559714,0.18412593707150424,-0.0005342630844097584,0.05015807322821351,0.1800582125023365
Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,xgboost,combined,10,30,37449,0.6716868274186226,0.04821099091786891,0.19596014763031194,-0.0007989307283423844,0.0737086183339079,0.24347779646986567
Pacifastacus leniusculus (alien),Pacifastacus_leniusculus_alien,xgboost,combined,20,30,37449,0.6214318139336164,0.05026689561782402,0.19481744891840097,-0.0008713682764209807,0.0945532142715375,0.27295788939624555
Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,random_forest,local_only,3,30,22945,0.9097406842449335,0.19064999999999993,0.22198775400630213,-0.0011333333333333195,0.041778104596798656,0.08354761385922858
Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,random_forest,local_only,10,30,22945,0.9038134669862715,0.20934999999999998,0.23815542929953268,-0.010141111111111129,0.048815172919830147,0.1120941381564611
Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,random_forest,local_only,20,30,22945,0.8660710394421443,0.2200008333333333,0.24538897549310934,-0.021851111111111154,0.061729808741987205,0.1757245587273916
Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,random_forest,upstream_only,3,30,22945,0.9966441490520811,0.04284968139840839,0.05307044862688424,-0.000252840389511233,0.00911900739558861,0.0033558509479189366
Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,random_forest,upstream_only,10,30,22945,0.9966441490520811,0.04721190692531102,0.055079328805819595,-0.0028298678188289905,0.009694300768590043,0.0033558509479189366
Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,random_forest,upstream_only,20,30,22945,1.0,0.05480378227067745,0.055027088794706705,-0.012894291474360442,0.015002912251035283,0.0033558509479189366
Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,random_forest,combined,3,30,22945,0.9097406842449335,0.19064999999999993,0.22198775400630213,-0.0011333333333333195,0.041778104596798656,0.08354761385922858
Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,random_forest,combined,10,30,22945,0.9038134669862715,0.20934999999999998,0.23815542929953268,-0.010141111111111129,0.048815172919830147,0.1120941381564611
Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,random_forest,combined,20,30,22945,0.8660710394421443,0.2200008333333333,0.24538897549310934,-0.021851111111111154,0.061729808741987205,0.1757245587273916
Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,xgboost,local_only,3,30,22945,0.8760078448463717,0.1982254507485777,0.2803918076922634,-0.007997009282310803,0.06384728255304196,0.2014382218348224
Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,xgboost,local_only,10,30,22945,0.8393985617781652,0.24907872090116137,0.31221315590181364,-0.0173028069237868,0.075664814726166,0.25600348659838745
Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,xgboost,local_only,20,30,22945,0.7715406406624536,0.2833705378696321,0.32847340294117694,-0.02777776507039864,0.09133934810227523,0.3232948354761386
Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,xgboost,upstream_only,3,30,22945,0.9994770102418827,0.04285652413964269,0.053306730297863106,0.000900391737620021,0.009045941366897894,0.0005229897581172369
Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,xgboost,upstream_only,10,30,22945,0.9966441490520811,0.0485414654016495,0.05497709654390122,-0.0013942937056223292,0.009336584932431578,0.0005229897581172369
Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,xgboost,upstream_only,20,30,22945,0.9994770102418827,0.054294678568840016,0.05492215780494622,-0.011724379658698991,0.015028433504339772,0.0005229897581172369
Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,xgboost,combined,3,30,22945,0.8760078448463717,0.1982254507485777,0.2803918076922634,-0.007997009282310803,0.06384728255304196,0.2014382218348224
Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,xgboost,combined,10,30,22945,0.8393985617781652,0.24907872090116137,0.31221315590181364,-0.0173028069237868,0.075664814726166,0.25600348659838745
Pontastacus leptodactylus (pooled),Pontastacus_leptodactylus_pooled,xgboost,combined,20,30,22945,0.7715406406624536,0.2833705378696321,0.32847340294117694,-0.02777776507039864,0.09133934810227523,0.3232948354761386
Procambarus clarkii (alien),Procambarus_clarkii_alien,random_forest,local_only,3,30,48267,0.9097105682971802,0.0955,0.16935115588314797,0.0012666666666666625,0.037982904366746326,0.09524105496509001
Procambarus clarkii (alien),Procambarus_clarkii_alien,random_forest,local_only,10,30,48267,0.9054219238817411,0.10402,0.1867090127061528,-0.001420000000000002,0.04114910130271537,0.10661528580603725
Procambarus clarkii (alien),Procambarus_clarkii_alien,random_forest,local_only,20,30,48267,0.8816789939295999,0.10881666666666663,0.19752164454188523,-0.004055555555555562,0.047337374811296226,0.12758199183707294
Procambarus clarkii (alien),Procambarus_clarkii_alien,random_forest,upstream_only,3,30,48267,1.0,0.024466423057253994,0.023551003899596887,-0.00109438224267433,0.004158976420843849,0.00016574471170779207
Procambarus clarkii (alien),Procambarus_clarkii_alien,random_forest,upstream_only,10,30,48267,0.6522054405701618,0.023622732797864365,0.024771050745119292,-0.0006254981721872666,0.005262492050303906,0.00016574471170779207
Procambarus clarkii (alien),Procambarus_clarkii_alien,random_forest,upstream_only,20,30,48267,0.6522054405701618,0.028092211417399038,0.027689511923538305,-0.0015651243443973728,0.009508208861478509,0.0
Procambarus clarkii (alien),Procambarus_clarkii_alien,random_forest,combined,3,30,48267,0.9097105682971802,0.0955,0.16935115588314797,0.0012666666666666625,0.037982904366746326,0.09524105496509001
Procambarus clarkii (alien),Procambarus_clarkii_alien,random_forest,combined,10,30,48267,0.9054219238817411,0.10402,0.1867090127061528,-0.001420000000000002,0.04114910130271537,0.10661528580603725
Procambarus clarkii (alien),Procambarus_clarkii_alien,random_forest,combined,20,30,48267,0.8816789939295999,0.10881666666666663,0.19752164454188523,-0.004055555555555562,0.047337374811296226,0.12758199183707294
Procambarus clarkii (alien),Procambarus_clarkii_alien,xgboost,local_only,3,30,48267,0.8942755920193921,0.04423608118668198,0.14271458429931605,-0.001176201606479783,0.03361038468679689,0.10185012534443823
Procambarus clarkii (alien),Procambarus_clarkii_alien,xgboost,local_only,10,30,48267,0.8567758509955041,0.053698074957355846,0.15295299031281698,-0.0027143484602371853,0.038258710920276114,0.11790664429113058
Procambarus clarkii (alien),Procambarus_clarkii_alien,xgboost,local_only,20,30,48267,0.8057886340563947,0.06093871593475341,0.16022367184353137,-0.003918580276270707,0.04565995029136473,0.1429962500258976
Procambarus clarkii (alien),Procambarus_clarkii_alien,xgboost,upstream_only,3,30,48267,1.0,0.024444852769374803,0.023768893541079344,-0.0016813000043233162,0.004314519402123795,0.0
