entity,algorithm,track,level,n_pixels_total,n_basins,coverage_uncorrected,coverage_conformal,median_width_uncorrected,median_width_conformal,median_q_hat,coverage_gap_pre,coverage_gap_post,width_inflation_factor
Faxonius limosus (alien),random_forest,combined,3,20052,84,0.8884400558547776,0.950229403550768,0.26665685572273995,0.2922146724824979,0.012500000000000039,0.06155994414522237,-0.00022940355076805918,1.0958453390987706
Faxonius limosus (alien),random_forest,combined,10,20052,84,0.8356273688410134,0.9500797925393976,0.29348292748971716,0.3530810987563288,0.029299999999999993,0.11437263115898655,-7.979253939760511e-05,1.2030720211781307
Faxonius limosus (alien),random_forest,combined,20,20052,84,0.7424197087572312,0.9482345900658289,0.30025545407832493,0.42017762039827405,0.059449999999999996,0.20758029124276878,0.0017654099341710694,1.399400459478968
Faxonius limosus (alien),xgboost,local_only,3,20052,84,0.8238579692798723,0.946588868940754,0.235314653256783,0.28935382998214654,0.026124873757362388,0.12614203072012764,0.003411131059245953,1.2296464583801088
Faxonius limosus (alien),xgboost,local_only,10,20052,84,0.689607021743467,0.9454917215240375,0.261803703830812,0.4257193185624643,0.0788860738277436,0.26039297825653296,0.004508278475962468,1.6261012061066225
Faxonius limosus (alien),xgboost,local_only,20,20052,84,0.6227807699980051,0.9449431478156792,0.26694404074106787,0.5832867132778798,0.15404058005660773,0.3272192300019948,0.005056852184320726,2.185052386479982
Faxonius limosus (alien),xgboost,upstream_only,3,20052,84,0.5114203072012767,0.9612008777179334,0.09516603768520653,0.11245544225626283,0.00864470228552816,0.4385796927987232,-0.011200877717933433,1.1816762049949667
Faxonius limosus (alien),xgboost,upstream_only,10,20052,84,0.4845401954917215,0.9629463395172552,0.09923581991790345,0.14853983436225462,0.024652007222175587,0.46545980450827845,-0.012946339517255212,1.4968368728664687
Faxonius limosus (alien),xgboost,upstream_only,20,20052,84,0.44823459006582883,0.966985836824257,0.09586833314128079,0.2095480476421849,0.05683985725045204,0.5017654099341711,-0.016985836824257028,2.185790039067173
Faxonius limosus (alien),xgboost,combined,3,20052,84,0.8395671254737682,0.9466387392778776,0.2323840949404594,0.2835733871691024,0.02472770363092422,0.11043287452623174,0.0033612607221223945,1.2202788114296659
Faxonius limosus (alien),xgboost,combined,10,20052,84,0.7115000997406743,0.9458906842210253,0.2603951152317372,0.4199877233291564,0.0774405723437667,0.23849990025932566,0.004109315778974665,1.6128863360412526
Faxonius limosus (alien),xgboost,combined,20,20052,84,0.6333532814681827,0.944394574107321,0.2652440656129164,0.5816584660112183,0.1553998924791813,0.31664671853181725,0.0056054258926789835,2.1929179251084956
Pacifastacus leniusculus (alien),random_forest,local_only,3,37449,121,0.8937488317445058,0.9486501642233437,0.15857528453935446,0.1905084246766078,0.011950000000000044,0.056251168255494144,0.0013498357766562608,1.201375266202523
Pacifastacus leniusculus (alien),random_forest,local_only,10,37449,121,0.8321450506021523,0.938796763598494,0.1716093191629505,0.27041902338926976,0.041291666666666726,0.11785494939784769,0.011203236401506,1.575782857879036
Pacifastacus leniusculus (alien),random_forest,local_only,20,37449,121,0.7774573419850997,0.9339101177601538,0.17788785918796654,0.3823100875465766,0.0853666666666667,0.1725426580149002,0.016089882239846198,2.1491634633851304
Pacifastacus leniusculus (alien),random_forest,upstream_only,3,37449,121,0.5925124836444231,0.9668615984405458,0.08861970313221694,0.10168103512916431,0.005907036748838856,0.35748751635557685,-0.0168615984405458,1.1473863208214587
Pacifastacus leniusculus (alien),random_forest,upstream_only,10,37449,121,0.5708029586904857,0.9771155438062431,0.09271061842598509,0.1482314744771809,0.027760428025597916,0.37919704130951426,-0.027115543806243148,1.5988618886791326
Pacifastacus leniusculus (alien),random_forest,upstream_only,20,37449,121,0.5407354001441961,0.9792517824240967,0.09262970086696104,0.2161857254294379,0.061778012281238415,0.4092645998558039,-0.02925178242409676,2.3338704908475694
Pacifastacus leniusculus (alien),random_forest,combined,3,37449,121,0.8932681780554887,0.9473684210526315,0.15827757491776115,0.19213170355492998,0.013049999999999999,0.05673182194451121,0.0026315789473684292,1.2138908727579316
Pacifastacus leniusculus (alien),random_forest,combined,10,37449,121,0.8338807444791583,0.9379689711340756,0.17116711159716896,0.2754190730329757,0.043983333333333346,0.11611925552084168,0.012031028865924331,1.609065377472497
Pacifastacus leniusculus (alien),random_forest,combined,20,37449,121,0.7764426286416193,0.9319875030040855,0.1774137986211512,0.3932373473553662,0.09095172619047615,0.17355737135838067,0.01801249699591445,2.2164980988603027
Pacifastacus leniusculus (alien),xgboost,local_only,3,37449,121,0.7352132233170445,0.9388501695639403,0.16569631638232737,0.22382515510361997,0.024593458231538537,0.21478677668295543,0.01114983043605966,1.350815515941623
Pacifastacus leniusculus (alien),xgboost,local_only,10,37449,121,0.6419130016822879,0.9322545328313172,0.18201780744602938,0.38574403929592305,0.09089917466044425,0.308086998317712,0.01774546716868275,2.119265387867619
Pacifastacus leniusculus (alien),xgboost,local_only,20,37449,121,0.5966247429837913,0.9269940452348527,0.18482952457500737,0.5719710394478964,0.17627131678164004,0.35337525701620864,0.02300595476514722,3.094586975555302
Pacifastacus leniusculus (alien),xgboost,upstream_only,3,37449,121,0.5600683596357713,0.971454511468931,0.07962322912396572,0.09381391934336804,0.007095345109701168,0.38993164036422867,-0.02145451146893107,1.1782229931583004
Pacifastacus leniusculus (alien),xgboost,upstream_only,10,37449,121,0.5000934604395311,0.9684904803866592,0.08066965198752699,0.1396338148565152,0.02835615202784536,0.4499065395604689,-0.018490480386659236,1.730933646250329
Pacifastacus leniusculus (alien),xgboost,upstream_only,20,37449,121,0.46233544286896844,0.9656065582525568,0.07921971514233409,0.21478463743520215,0.06226674765348433,0.4876645571310315,-0.015606558252556857,2.7112523321915325
Pacifastacus leniusculus (alien),xgboost,combined,3,37449,121,0.7493391011776015,0.9400518037864829,0.16484413774220846,0.22665317422400877,0.02598386788740754,0.20066089882239846,0.009948196213517058,1.3749544104410942
Pacifastacus leniusculus (alien),xgboost,combined,10,37449,121,0.6716868274186226,0.9319608000213624,0.18094730807542053,0.396287009739,0.0956336222589016,0.27831317258137733,0.018039199978637566,2.19006855616677
Pacifastacus leniusculus (alien),xgboost,combined,20,37449,121,0.6214318139336164,0.9275815108547625,0.1836059905428129,0.591431092004147,0.184527563303709,0.3285681860663836,0.022418489145237475,3.2211971420738488
Pontastacus leptodactylus (pooled),random_forest,local_only,3,22945,112,0.9097406842449335,0.9502723904990193,0.20158647265804697,0.2351825469661752,0.016624999999999994,0.04025931575506647,-0.0002723904990193926,1.1666583767508922
